unique,caseno,Date,block,iucr,Type,Type_desc,Where,Arrest,Domestic,Beat,District,Ward,Community_area,FBI,x,y,Year,Updated,Latitude,Longitude,Location,color1,color2
10226564,HY413563,09-07-2015 00:01,048XX S DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,931,9,20,61,14,1163841,1872481,2015,02-10-2018 15:50,41.80571452,-87.67461901,"(41.805714523, -87.674619009)",#FF785A,#FC4B24
10226565,HY413877,09-07-2015 13:00,073XX S PHILLIPS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,334,3,7,43,14,1193918,1856837,2015,02-10-2018 15:50,41.76210086,-87.56482254,"(41.76210086, -87.564822538)",#FF785A,#FC4B24
10226566,HY414069,09-06-2015 19:40,071XX S UNIVERSITY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,DRIVEWAY - RESIDENTIAL,FALSE,TRUE,324,3,5,69,08B,1185116,1857942,2015,02-10-2018 15:50,41.76534435,-87.59704784,"(41.765344346, -87.597047835)",#A5FCD4,#6CFFBA
10226568,HY413138,09-07-2015 14:30,004XX S LOTUS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1522,15,29,25,18,1139957,1897368,2015,02-10-2018 15:50,41.87447705,-87.76161003,"(41.874477054, -87.761610029)",#ff005a,#eb0c83
10226569,HY414070,09-07-2015 12:48,021XX W ADAMS ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1225,12,2,28,18,1162185,1899060,2015,02-10-2018 15:50,41.87868477,-87.67995101,"(41.878684768, -87.679951005)",#ff005a,#eb0c83
10226570,HY414013,09-06-2015 19:35,026XX N HALSTED ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1935,19,43,7,08B,1170490,1917716,2015,02-10-2018 15:50,41.92970038,-87.64891033,"(41.929700376, -87.648910326)",#A5FCD4,#6CFFBA
10226571,HY413266,09-06-2015 15:30,027XX N CLARK ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1935,19,43,7,6,1171721,1918380,2015,02-10-2018 15:50,41.93149537,-87.64436717,"(41.931495367, -87.644367168)",#FE9A65,#FD7C37
10226573,HY412905,09-07-2015 13:58,061XX N HOYNE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2413,24,40,2,18,1161223,1940400,2015,02-10-2018 15:50,41.99214434,-87.68233063,"(41.992144338, -87.682330633)",#ff005a,#eb0c83
10226574,HY414056,09-07-2015 13:37,0000X E 100TH PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,511,5,9,49,18,1178519,1838354,2015,02-10-2018 15:50,41.71174491,-87.62182126,"(41.711744912, -87.621821258)",#ff005a,#eb0c83
10226575,HY414053,09-07-2015 12:38,043XX W 26TH ST,460,BATTERY,SIMPLE,ALLEY,TRUE,FALSE,1031,10,22,30,08B,1147879,1886366,2015,02-10-2018 15:50,41.84413771,-87.73280616,"(41.844137711, -87.732806156)",#A5FCD4,#6CFFBA
10226576,HY413938,09-07-2015 14:35,065XX S UNION AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,723,7,20,68,18,1172636,1861411,2015,02-10-2018 15:50,41.77514774,-87.64268856,"(41.775147738, -87.642688558)",#ff005a,#eb0c83
10226579,HY414094,09-04-2015 00:00,054XX S SHORE DR,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,234,2,5,41,6,1189423,1869265,2015,02-10-2018 15:50,41.79631327,-87.58089843,"(41.79631327, -87.580898427)",#FE9A65,#FD7C37
11223707,HY414090,02-05-2018 00:00,061XX N KENMORE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2433,24,48,77,26,,,2018,02-12-2018 15:49,,,,#95FDEA,#5FFCE0
10226580,JB141873,09-07-2015 00:01,028XX N RIDGEWAY AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,2523,25,30,21,11,1150897,1918707,2015,02-10-2018 15:50,41.93282637,-87.72088344,"(41.932826366, -87.720883435)",#CFFC8F,#B6FA54
10226581,HY414033,09-04-2015 16:00,008XX N STATE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1833,18,42,8,5,1176212,1906169,2015,02-10-2018 15:50,41.89788767,-87.62823261,"(41.897887668, -87.628232605)",#FCE49C,#FBCF4F
