city,crime_name,2011,2012,2013,2014,avg
Asansol,Deaths due to rash or negligent driving,,,,17,17
Asansol,Disclosure of identity of victims,,,,0,0
Asansol,Dowry deaths,1.7,2.5,2.5,4.7,2.9
Asansol,Extortion,,,,0,0
Asansol,Forgery,,,,5.5,5.5
Asansol,Gang rape,,,,0,0
Asansol,Gang rape other than custodial,,,,0,0
Asansol,Grievous hurt,,,,0,0
Asansol,House trespass & house breaking,,,,0,0
Asansol,Human trafficking,,,,0,0
Asansol,Hurt,13.9,7.5,13.5,0.2,8.3
Asansol,Importation of girls from foreign country,0,0,0,0,0
Asansol,Imputation or assertions prejudicial to national integration,,,,0,0
Asansol,Industrial riots,,,,0,0
Asansol,Insult to modesty of women at office premises,,,,0,0
Asansol,Insult to modesty of women at other places,,,,0.2,0.2
Asansol,Insult to modesty of women in other places related to work,,,,0,0
Asansol,Insult to modesty of women in public transport system,,,,0,0
Asansol,Insult to the modesty of women,1.2,0.7,0.2,0.2,0.5
Asansol,Kidnapping,,,,1.9,1.9
Asansol,Kidnapping & abduction,5.1,6.2,10.1,8.4,6.3
Asansol,Kidnapping & abduction in order to murder,,,,0.2,0.2
Asansol,Kidnapping & abduction of others,1.1,,3.1,0,1.6
Asansol,Kidnapping & abduction of women and girls,8.4,8.2,14.6,0,8.3
Asansol,Kidnapping & abduction of women to compel her for marriage,,,,3.9,3.9
Asansol,Kidnapping for ransom,,,,0.2,0.2
Asansol,Kidnapping of others,,2.3,,0,2.3
Asansol,Making or possessing materials for forged currency or bank notes,,,,0,0
Asansol,Making or using documents resembling currency notes or bank notes,,,,0,0
Asansol,Making preparation and assembly for committing dacoity,,,,2.4,2.4
Asansol,Murder,4.7,4.8,4.5,3.9,4.2
Asansol,Offences against state,,,,0,0
Asansol,Offences promoting enmity between different groups,,,,0.1,0.1
Asansol,Offences related to counterfeit coin,,,,0,0
Asansol,Other IPC crimes,114.8,141.5,179.6,153.3,131
Asansol,Other cases of assault on women to outrage her modesty,,,,13.1,13.1
Asansol,Other caste conflict riots,,,,0,0
Asansol,Other kidnapping & abduction,,,,4.1,4.1
Asansol,Other rape,5.2,6,5.2,0.1,3.9
Asansol,Other rape other than custodial,,,,2.7,2.7
Asansol,Other theft,29.4,55.8,39.1,26.5,32.9
Asansol,Political riots,,,,0,0
Asansol,Possession of forged or counterfeiting currency or bank notes,,,,0,0
Asansol,Preparation & assembly for dacoity,5.7,3.5,3.9,0,4.8
Asansol,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.1,0.1
Asansol,Rape,5.2,6,5.2,2.7,4.4
Asansol,Rape other than custodial,,,,2.7,2.7
Asansol,Riots,8,17.1,21.1,14.6,13.1
Asansol,Riots others,,,,14.6,14.6
Asansol,Robbery,1.9,6,3.1,1,2.5
Asansol,SCs-STs vs Non-SCs-STs riots,,,,0,0
Asansol,Sectarian riots,,,,0,0
Asansol,Sedition,,,,0,0
Asansol,Sexual harassment,,,,5.2,5.2
Asansol,Sexual harassment and molestation of women,6.2,5.9,12.4,26.7,10.7
Asansol,Stalking,,,,1.3,1.3
Asansol,Student riots,,,,0,0
Asansol,Theft,51.6,76.2,59,48.8,53
Asansol,Total cognizable crimes under IPC,272,313.5,385,365.2,300.9
Asansol,Unlawful assembly,,,,0,0
Asansol,Unnatural offences,,,,0,0
Asansol,Use of criminal force with intent to disrobe women,,,,6.4,6.4
Asansol,"Using as genuine, forged or counterfeiting currency or bank notes",,,,0,0
Asansol,Voyeurism,,,,0.5,0.5
Aurangabad,Acid attack,,,,0,0
Aurangabad,Agrarian riots,,,,0,0
Aurangabad,Arson,2.2,2,2.4,2.9,2.4
Aurangabad,Assault on women with intent to outrage her modesty,11.4,13.9,30.4,39.9,23.9
Aurangabad,Attempt to acid attack,,,,0,0
Aurangabad,Attempt to commit culpable homicide not amounting to murder,,,,0,0
Aurangabad,Attempt to commit murder,9.9,4.6,4.2,4.5,5.8
Aurangabad,Attempt to commit rape,,,,0,0
Aurangabad,Auto theft,36.1,35.2,52.1,59.4,45.7
Aurangabad,Burglary,32,24.6,24.8,22.5,26
Aurangabad,Caste conflict riots,,,,0,0
Aurangabad,Causing death by negligence,14.1,15.6,13.2,15.4,14.6
Aurangabad,Causing injuries under rash driving or road rage,,,,64.8,64.8
Aurangabad,Cheating,16.3,20.6,20,16.6,18.4
Aurangabad,Communal riots,,,,0,0
Aurangabad,Counterfeit currency & bank notes total,,,,0.2,0.2
Aurangabad,Counterfeiting,0.4,0.2,0.3,0.2,0.3
Aurangabad,Counterfeiting currency - notes or bank notes,,,,0.2,0.2
Aurangabad,Counterfeiting government stamp,,,,0,0
Aurangabad,Criminal breach of trust,1.8,1.6,1.6,1.3,1.6
Aurangabad,Criminal trespass or burglary,,,,17.7,17.7
Aurangabad,Cruelty by husband or his relatives,21.4,21.1,26.5,28.8,24.4
Aurangabad,Culpable homicide not amounting to murder,0.1,0.4,0,0,0.1
Aurangabad,Custodial rape,0,0,0,0,0
Aurangabad,Dacoity,1.9,2.1,1.8,2.1,2
Aurangabad,Dacoity with murder,,,,0,0
Aurangabad,Deaths due to other causes,,,,0.4,0.4
Aurangabad,Deaths due to rash or negligent driving,,,,15,15
Aurangabad,Disclosure of identity of victims,,,,0,0
Aurangabad,Dowry deaths,1.2,0.7,0.9,0.4,0.8
